grupo,pais,pj,w,d,l,GF,GC,DG,pts
A,México,0,0,0,0,0,0,0,0
A,Sudáfrica,0,0,0,0,0,0,0,0
A,República de Corea,0,0,0,0,0,0,0,0
A,Repesca UEFA,0,0,0,0,0,0,0,0
B,Canadá,0,0,0,0,0,0,0,0
B,Repesca UEFA,0,0,0,0,0,0,0,0
B,Qatar,0,0,0,0,0,0,0,0
B,Suiza,0,0,0,0,0,0,0,0
C,Brasil,0,0,0,0,0,0,0,0
C,Marruecos,0,0,0,0,0,0,0,0
C,Haití,0,0,0,0,0,0,0,0
C,Escocia,0,0,0,0,0,0,0,0
D,Estados Unidos,0,0,0,0,0,0,0,0
D,Paraguay,0,0,0,0,0,0,0,0
D,Australia,0,0,0,0,0,0,0,0
D,Repesca UEFA,0,0,0,0,0,0,0,0
E,Alemania,0,0,0,0,0,0,0,0
E,Curazao,0,0,0,0,0,0,0,0
E,Costa de Marfil,0,0,0,0,0,0,0,0
E,Ecuador,0,0,0,0,0,0,0,0
F,Países Bajos,0,0,0,0,0,0,0,0
F,Japón,0,0,0,0,0,0,0,0
F,Repesca UEFA,0,0,0,0,0,0,0,0
F,Túnez,0,0,0,0,0,0,0,0
G,Bélgica,0,0,0,0,0,0,0,0
G,Egipto,0,0,0,0,0,0,0,0
G,Irán,0,0,0,0,0,0,0,0
G,Nueva Zelanda,0,0,0,0,0,0,0,0
H,España,0,0,0,0,0,0,0,0
H,Cabo Verde,0,0,0,0,0,0,0,0
H,Arabia Saudita,0,0,0,0,0,0,0,0
H,Uruguay,0,0,0,0,0,0,0,0
I,Francia,0,0,0,0,0,0,0,0
I,Senegal,0,0,0,0,0,0,0,0
I,Respesca Internacional,0,0,0,0,0,0,0,0
I,Noruega,0,0,0,0,0,0,0,0
J,Argentina,0,0,0,0,0,0,0,0
J,Argelia,0,0,0,0,0,0,0,0
J,Austria,0,0,0,0,0,0,0,0
J,Jordania,0,0,0,0,0,0,0,0
K,Portugal,0,0,0,0,0,0,0,0
K,Respesca Internacional,0,0,0,0,0,0,0,0
K,Uzbekistán,0,0,0,0,0,0,0,0
K,Colombia,0,0,0,0,0,0,0,0
L,Inglaterra,0,0,0,0,0,0,0,0
L,Croacia,0,0,0,0,0,0,0,0
L,Ghana,0,0,0,0,0,0,0,0
L,Panamá,0,0,0,0,0,0,0,0
